"V1","V2"
"HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Information not available - Father","HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Information not available - Father"
"HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Information not available - Spouse","HIGHEST LEVEL OF EDUCATION

 

(Check ONE box corresponding to the highest level of education completed for yourself, each relative, and if applicable, for most recent spouse, even if separated/divorced/widowed) - Information not available - Spouse"
"If highest level of education is not available please specify why. - You","If highest level of education is not available please specify why. - You"
"If highest level of education is not available please specify why. - Mother","If highest level of education is not available please specify why. - Mother"
"If highest level of education is not available please specify why. - Father","If highest level of education is not available please specify why. - Father"
"If highest level of education is not available please specify why. - Spouse","If highest level of education is not available please specify why. - Spouse"
"OCCUPATION/FAMILY EMPLOYMENT:

 

What is the highest level of occupation attainment achieved by you, your mother, father, and spouse? (Enter in actual occupation below) - Your Occupation","OCCUPATION/FAMILY EMPLOYMENT:

 

What is the highest level of occupation attainment achieved by you, your mother, father, and spouse? (Enter in actual occupation below) - Your Occupation"
"OCCUPATION/FAMILY EMPLOYMENT:

 

What is the highest level of occupation attainment achieved by you, your mother, father, and spouse? (Enter in actual occupation below) - Mother's Occupation","OCCUPATION/FAMILY EMPLOYMENT:

 

What is the highest level of occupation attainment achieved by you, your mother, father, and spouse? (Enter in actual occupation below) - Mother's Occupation"
"OCCUPATION/FAMILY EMPLOYMENT:

 

What is the highest level of occupation attainment achieved by you, your mother, father, and spouse? (Enter in actual occupation below) - Father's Occupation","OCCUPATION/FAMILY EMPLOYMENT:

 

What is the highest level of occupation attainment achieved by you, your mother, father, and spouse? (Enter in actual occupation below) - Father's Occupation"
"OCCUPATION/FAMILY EMPLOYMENT:

 

What is the highest level of occupation attainment achieved by you, your mother, father, and spouse? (Enter in actual occupation below) - Spouse's Occupation (if not applicable, type ""NA"")","OCCUPATION/FAMILY EMPLOYMENT:

 

What is the highest level of occupation attainment achieved by you, your mother, father, and spouse? (Enter in actual occupation below) - Spouse's Occupation (if not applicable, type ""NA"")"
"HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - > $250,001 - You","HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - > $250,001 - You"
"HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - > $250,001 - Mother","HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - > $250,001 - Mother"
"HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - > $250,001 - Father","HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - > $250,001 - Father"
"HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - > $250,001 - Spouse","HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - > $250,001 - Spouse"
"HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - $100,001 – $250,000 - You","HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - $100,001 – $250,000 - You"
"HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - $100,001 – $250,000 - Mother","HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - $100,001 – $250,000 - Mother"
"HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - $100,001 – $250,000 - Father","HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - $100,001 – $250,000 - Father"
"HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - $100,001 – $250,000 - Spouse","HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - $100,001 – $250,000 - Spouse"
"HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - $75,001 – $100,000 - You","HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - $75,001 – $100,000 - You"
"HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - $75,001 – $100,000 - Mother","HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - $75,001 – $100,000 - Mother"
"HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - $75,001 – $100,000 - Father","HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - $75,001 – $100,000 - Father"
"HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - $75,001 – $100,000 - Spouse","HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - $75,001 – $100,000 - Spouse"
"HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - $50,001 – $75,000 - You","HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - $50,001 – $75,000 - You"
"HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - $50,001 – $75,000 - Mother","HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - $50,001 – $75,000 - Mother"
"HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - $50,001 – $75,000 - Father","HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - $50,001 – $75,000 - Father"
"HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - $50,001 – $75,000 - Spouse","HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - $50,001 – $75,000 - Spouse"
"HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - $25,001 – $50,000 - You","HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - $25,001 – $50,000 - You"
"HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - $25,001 – $50,000 - Mother","HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - $25,001 – $50,000 - Mother"
"HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - $25,001 – $50,000 - Father","HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - $25,001 – $50,000 - Father"
"HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - $25,001 – $50,000 - Spouse","HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - $25,001 – $50,000 - Spouse"
"HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - < $25,000 - You","HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - < $25,000 - You"
"HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - < $25,000 - Mother","HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - < $25,000 - Mother"
"HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - < $25,000 - Father","HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - < $25,000 - Father"
"HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - < $25,000 - Spouse","HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - < $25,000 - Spouse"
"HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - Does not apply (i.e. dependent or no spouse) - You","HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - Does not apply (i.e. dependent or no spouse) - You"
"HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - Does not apply (i.e. dependent or no spouse) - Mother","HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - Does not apply (i.e. dependent or no spouse) - Mother"
"HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - Does not apply (i.e. dependent or no spouse) - Father","HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - Does not apply (i.e. dependent or no spouse) - Father"
"HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - Does not apply (i.e. dependent or no spouse) - Spouse","HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - Does not apply (i.e. dependent or no spouse) - Spouse"
"HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - Information not available (Please specify why below) - You","HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - Information not available (Please specify why below) - You"
"HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - Information not available (Please specify why below) - Mother","HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - Information not available (Please specify why below) - Mother"
"HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - Information not available (Please specify why below) - Father","HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - Information not available (Please specify why below) - Father"
"HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - Information not available (Please specify why below) - Spouse","HIGHEST LEVEL OF OCCUPATION BY INCOME

 

(Check ONE box corresponding to the highest level of income for yourself, each relative, and if applicable for most recent spouse, even if separated/divorced/widowed) - Information not available (Please specify why below) - Spouse"
"If highest level of occupation is not available please specify why. - You","If highest level of occupation is not available please specify why. - You"
"If highest level of occupation is not available please specify why. - Mother","If highest level of occupation is not available please specify why. - Mother"
"If highest level of occupation is not available please specify why. - Father","If highest level of occupation is not available please specify why. - Father"
"If highest level of occupation is not available please specify why. - Spouse","If highest level of occupation is not available please specify why. - Spouse"
"ETHNIC BACKGROUND OF PARENTS

 

Mother - What is your mother’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies she is from (if known). - Anglo-Saxon - Yes","ETHNIC BACKGROUND OF PARENTS

 

Mother - What is your mother’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies she is from (if known). - Anglo-Saxon - Yes"
"ETHNIC BACKGROUND OF PARENTS

 

Mother - What is your mother’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies she is from (if known). - Anglo-Saxon - Country","ETHNIC BACKGROUND OF PARENTS

 

Mother - What is your mother’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies she is from (if known). - Anglo-Saxon - Country"
"ETHNIC BACKGROUND OF PARENTS

 

Mother - What is your mother’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies she is from (if known). - Northern European - Yes","ETHNIC BACKGROUND OF PARENTS

 

Mother - What is your mother’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies she is from (if known). - Northern European - Yes"
"ETHNIC BACKGROUND OF PARENTS

 

Mother - What is your mother’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies she is from (if known). - Northern European - Country","ETHNIC BACKGROUND OF PARENTS

 

Mother - What is your mother’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies she is from (if known). - Northern European - Country"
"ETHNIC BACKGROUND OF PARENTS

 

Mother - What is your mother’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies she is from (if known). - Western European - Yes","ETHNIC BACKGROUND OF PARENTS

 

Mother - What is your mother’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies she is from (if known). - Western European - Yes"
"ETHNIC BACKGROUND OF PARENTS

 

Mother - What is your mother’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies she is from (if known). - Western European - Country","ETHNIC BACKGROUND OF PARENTS

 

Mother - What is your mother’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies she is from (if known). - Western European - Country"
"ETHNIC BACKGROUND OF PARENTS

 

Mother - What is your mother’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies she is from (if known). - East European, Slavic - Yes","ETHNIC BACKGROUND OF PARENTS

 

Mother - What is your mother’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies she is from (if known). - East European, Slavic - Yes"
"ETHNIC BACKGROUND OF PARENTS

 

Mother - What is your mother’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies she is from (if known). - East European, Slavic - Country","ETHNIC BACKGROUND OF PARENTS

 

Mother - What is your mother’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies she is from (if known). - East European, Slavic - Country"
"ETHNIC BACKGROUND OF PARENTS

 

Mother - What is your mother’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies she is from (if known). - Russian - Yes","ETHNIC BACKGROUND OF PARENTS

 

Mother - What is your mother’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies she is from (if known). - Russian - Yes"
"ETHNIC BACKGROUND OF PARENTS

 

Mother - What is your mother’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies she is from (if known). - Russian - Country","ETHNIC BACKGROUND OF PARENTS

 

Mother - What is your mother’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies she is from (if known). - Russian - Country"
"ETHNIC BACKGROUND OF PARENTS

 

Mother - What is your mother’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies she is from (if known). - Mediterranean - Yes","ETHNIC BACKGROUND OF PARENTS

 

Mother - What is your mother’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies she is from (if known). - Mediterranean - Yes"
"ETHNIC BACKGROUND OF PARENTS

 

Mother - What is your mother’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies she is from (if known). - Mediterranean - Country","ETHNIC BACKGROUND OF PARENTS

 

Mother - What is your mother’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies she is from (if known). - Mediterranean - Country"
"ETHNIC BACKGROUND OF PARENTS

 

Mother - What is your mother’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies she is from (if known). - African, sub-Saharan – incl. African American, Afro-Caribbean, Sub-Saharan... - African, sub-Saharan – incl. African American, Afro-Caribbean, Sub-Saharan African - Yes","ETHNIC BACKGROUND OF PARENTS

 

Mother - What is your mother’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies she is from (if known). - African, sub-Saharan – incl. African American, Afro-Caribbean, Sub-Saharan... - African, sub-Saharan – incl. African American, Afro-Caribbean, Sub-Saharan African - Yes"
"ETHNIC BACKGROUND OF PARENTS

 

Mother - What is your mother’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies she is from (if known). - African, sub-Saharan – incl. African American, Afro-Caribbean, Sub-Saharan... - African, sub-Saharan – incl. African American, Afro-Caribbean, Sub-Saharan African - Country","ETHNIC BACKGROUND OF PARENTS

 

Mother - What is your mother’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies she is from (if known). - African, sub-Saharan – incl. African American, Afro-Caribbean, Sub-Saharan... - African, sub-Saharan – incl. African American, Afro-Caribbean, Sub-Saharan African - Country"
"ETHNIC BACKGROUND OF PARENTS

 

Mother - What is your mother’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies she is from (if known). - African, northeastern – Mediterranean and Saharan African (incl. Algerian,... - African, northeastern – Mediterranean and Saharan African (incl. Algerian, Egyptian, North Sudanese, Libyan, Morrocan and Tunisian) - Yes","ETHNIC BACKGROUND OF PARENTS

 

Mother - What is your mother’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies she is from (if known). - African, northeastern – Mediterranean and Saharan African (incl. Algerian,... - African, northeastern – Mediterranean and Saharan African (incl. Algerian, Egyptian, North Sudanese, Libyan, Morrocan and Tunisian) - Yes"
"ETHNIC BACKGROUND OF PARENTS

 

Mother - What is your mother’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies she is from (if known). - African, northeastern – Mediterranean and Saharan African (incl. Algerian,... - African, northeastern – Mediterranean and Saharan African (incl. Algerian, Egyptian, North Sudanese, Libyan, Morrocan and Tunisian) - Country","ETHNIC BACKGROUND OF PARENTS

 

Mother - What is your mother’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies she is from (if known). - African, northeastern – Mediterranean and Saharan African (incl. Algerian,... - African, northeastern – Mediterranean and Saharan African (incl. Algerian, Egyptian, North Sudanese, Libyan, Morrocan and Tunisian) - Country"
"ETHNIC BACKGROUND OF PARENTS

 

Mother - What is your mother’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies she is from (if known). - Southeast Asia – Malaysian, Balinese, Viet Hmong, Thai, South Chinese, Indo... - Southeast Asia – Malaysian, Balinese, Viet Hmong, Thai, South Chinese, Indonesian, and Philippine - Yes","ETHNIC BACKGROUND OF PARENTS

 

Mother - What is your mother’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies she is from (if known). - Southeast Asia – Malaysian, Balinese, Viet Hmong, Thai, South Chinese, Indo... - Southeast Asia – Malaysian, Balinese, Viet Hmong, Thai, South Chinese, Indonesian, and Philippine - Yes"
"ETHNIC BACKGROUND OF PARENTS

 

Mother - What is your mother’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies she is from (if known). - Southeast Asia – Malaysian, Balinese, Viet Hmong, Thai, South Chinese, Indo... - Southeast Asia – Malaysian, Balinese, Viet Hmong, Thai, South Chinese, Indonesian, and Philippine - Country","ETHNIC BACKGROUND OF PARENTS

 

Mother - What is your mother’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies she is from (if known). - Southeast Asia – Malaysian, Balinese, Viet Hmong, Thai, South Chinese, Indo... - Southeast Asia – Malaysian, Balinese, Viet Hmong, Thai, South Chinese, Indonesian, and Philippine - Country"
"ETHNIC BACKGROUND OF PARENTS

 

Mother - What is your mother’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies she is from (if known). - All Other Asian – North Chinese, Indian, Koran, Japanese, Turkish, Armenian - Yes","ETHNIC BACKGROUND OF PARENTS

 

Mother - What is your mother’s ethnicity? In the first column, please type ""Yes"" in all categories that apply.  For all categories that apply, please use the second column to indicate which country/ies she is from (if known). - All Other Asian – North Chinese, Indian, Koran, Japanese, Turkish, Armenian - Yes"
